issn,journal_title,oa_model,apc,year,publisher
0099-1333,The Journal of Academic Librarianship,Hybrid,3150,2022,Elsevier
2213-2198,The Journal of Allergy and Clinical Immunology: In Practice,Hybrid,3500,2022,Elsevier
0021-9614,The Journal of Chemical Thermodynamics,Hybrid,3680,2022,Elsevier
2667-2782,The Journal of Climate Change and Health,Open Access,2300,2022,Elsevier
1703-4949,The Journal of Economic Asymmetries,Hybrid,2500,2022,Elsevier
0736-4679,The Journal of Emergency Medicine,Hybrid,2730,2022,Elsevier
1067-2516,The Journal of Foot & Ankle Surgery,Hybrid,2840,2022,Elsevier
0363-5023,The Journal of Hand Surgery,Hybrid,3000,2022,Elsevier
1053-2498,The Journal of Heart and Lung Transplantation,Hybrid,3300,2022,Elsevier
1047-8310,The Journal of High Technology Management Research,Hybrid,2600,2022,Elsevier
0732-3123,The Journal of Mathematical Behavior,Hybrid,2780,2022,Elsevier
1525-1578,The Journal of Molecular Diagnostics,Hybrid,3000,2022,Elsevier
0955-2863,The Journal of Nutritional Biochemistry,Hybrid,3810,2022,Elsevier
1526-5900,The Journal of Pain,Hybrid,3800,2022,Elsevier
0022-3476,The Journal of Pediatrics,Hybrid,3860,2022,Elsevier
2590-0420,The Journal of Pediatrics: X,Open Access,2500,2022,Elsevier
1743-6095,The Journal of Sexual Medicine,Hybrid,3250,2022,Elsevier
0885-985X,The Journal of Social Studies Research,Hybrid,3000,2022,Elsevier
0960-0760,The Journal of Steroid Biochemistry and Molecular Biology,Hybrid,2970,2022,Elsevier
0963-8687,The Journal of Strategic Information Systems,Hybrid,3540,2022,Elsevier
0896-8446,The Journal of Supercritical Fluids,Hybrid,4400,2022,Elsevier
0002-8177,The Journal of the American Dental Association,Hybrid,2500,2022,Elsevier
2212-828X,The Journal of the Economics of Ageing,Hybrid,3010,2022,Elsevier
0968-0160,The Knee,Hybrid,2910,2022,Elsevier
0140-6736,The Lancet,Hybrid,5000,2022,Elsevier
2352-4642,The Lancet Child & Adolescent Health,Hybrid,5000,2022,Elsevier
2213-8587,The Lancet Diabetes & Endocrinology,Hybrid,5000,2022,Elsevier
2589-7500,The Lancet Digital Health,Open Access,5000,2022,Elsevier
2468-1253,The Lancet Gastroenterology & Hepatology,Hybrid,5000,2022,Elsevier
2214-109X,The Lancet Global Health,Open Access,5000,2022,Elsevier
2352-3026,The Lancet Haematology,Hybrid,5000,2022,Elsevier
2666-7568,The Lancet Healthy Longevity,Open Access,5000,2022,Elsevier
2352-3018,The Lancet HIV,Hybrid,5000,2022,Elsevier
1473-3099,The Lancet Infectious Diseases,Hybrid,5000,2022,Elsevier
2666-5247,The Lancet Microbe,Open Access,5000,2022,Elsevier
1474-4422,The Lancet Neurology,Hybrid,5000,2022,Elsevier
1470-2045,The Lancet Oncology,Hybrid,5000,2022,Elsevier
2542-5196,The Lancet Planetary Health,Open Access,5000,2022,Elsevier
2215-0366,The Lancet Psychiatry,Hybrid,5000,2022,Elsevier
2468-2667,The Lancet Public Health,Open Access,5000,2022,Elsevier
2667-193X,The Lancet Regional Health - Americas,Open Access,3500,2022,Elsevier
2666-7762,The Lancet Regional Health - Europe,Open Access,4000,2022,Elsevier
2666-6065,The Lancet Regional Health - Western Pacific,Open Access,3500,2022,Elsevier
2213-2600,The Lancet Respiratory Medicine,Hybrid,5000,2022,Elsevier
2665-9913,The Lancet Rheumatology,Hybrid,5000,2022,Elsevier
1048-9843,The Leadership Quarterly,Hybrid,4170,2022,Elsevier
1062-9408,The North American Journal of Economics and Finance,Hybrid,2110,2022,Elsevier
1542-0124,The Ocular Surface,Hybrid,4740,2022,Elsevier
1062-9769,The Quarterly Review of Economics and Finance,Hybrid,1940,2022,Elsevier
1529-9430,The Spine Journal,Hybrid,3560,2022,Elsevier
1479-666X,The Surgeon,Hybrid,3440,2022,Elsevier
1090-0233,The Veterinary Journal,Hybrid,3120,2022,Elsevier
0167-8442,Theoretical and Applied Fracture Mechanics,Hybrid,3050,2022,Elsevier
2095-0349,Theoretical and Applied Mechanics Letters,Open Access,1200,2022,Elsevier
0304-3975,Theoretical Computer Science,Hybrid,2470,2022,Elsevier
0040-5809,Theoretical Population Biology,Hybrid,2630,2022,Elsevier
0040-5957,Therapies,Hybrid,2160,2022,Elsevier
0093-691X,Theriogenology,Hybrid,3740,2022,Elsevier
2451-9049,Thermal Science and Engineering Progress,Hybrid,2830,2022,Elsevier
0040-6031,Thermochimica Acta,Hybrid,3400,2022,Elsevier
0040-6090,Thin Solid Films,Hybrid,2890,2022,Elsevier
0263-8231,Thin-Walled Structures,Hybrid,3660,2022,Elsevier
1871-1871,Thinking Skills and Creativity,Hybrid,3020,2022,Elsevier
0049-3848,Thrombosis Research,Hybrid,3570,2022,Elsevier
2666-5727,Thrombosis Update,Open Access,1250,2022,Elsevier
1877-959X,Ticks and Tick-borne Diseases,Hybrid,3110,2022,Elsevier
0040-8166,Tissue and Cell,Hybrid,2990,2022,Elsevier
1938-9736,Topics in Companion Animal Medicine,Hybrid,2720,2022,Elsevier
0166-8641,Topology and its Applications,Hybrid,2690,2022,Elsevier
2772-8099,Total Environment Research Themes,Open Access,1700,2022,Elsevier
0261-5177,Tourism Management,Hybrid,3980,2022,Elsevier
2211-9736,Tourism Management Perspectives,Hybrid,2800,2022,Elsevier
2352-0078,Toxicologie Analytique et Clinique,Hybrid,1740,2022,Elsevier
0300-483X,Toxicology,Hybrid,3520,2022,Elsevier
0041-008X,Toxicology and Applied Pharmacology,Hybrid,3810,2022,Elsevier
0887-2333,Toxicology in Vitro,Hybrid,3560,2022,Elsevier
0378-4274,Toxicology Letters,Hybrid,3520,2022,Elsevier
2214-7500,Toxicology Reports,Open Access,1730,2022,Elsevier
0041-0101,Toxicon,Hybrid,3000,2022,Elsevier
2590-1710,Toxicon: X,Open Access,2000,2022,Elsevier
1003-6326,Transactions of Nonferrous Metals Society of China,Open Access,0,2022,Elsevier
1473-0502,Transfusion and Apheresis Science,Hybrid,2860,2022,Elsevier
1246-7820,Transfusion Clinique et Biologique,Hybrid,1900,2022,Elsevier
0887-7963,Transfusion Medicine Reviews,Hybrid,3650,2022,Elsevier
1936-5233,Translational Oncology,Open Access,2610,2022,Elsevier
1931-5244,Translational Research,Hybrid,3020,2022,Elsevier
2214-854X,Translational Research in Anatomy,Open Access,1750,2022,Elsevier
0966-3274,Transplant Immunology,Hybrid,3140,2022,Elsevier
2666-6367,Transplantation and Cellular Therapy,Hybrid,3650,2022,Elsevier
0041-1345,Transplantation Proceedings,Hybrid,2910,2022,Elsevier
2451-9596,Transplantation Reports,Open Access,1170,2022,Elsevier
0955-470X,Transplantation Reviews,Hybrid,3350,2022,Elsevier
0967-070X,Transport Policy,Hybrid,2590,2022,Elsevier
2666-691X,Transportation Engineering,Open Access,2000,2022,Elsevier
2214-3912,Transportation Geotechnics,Hybrid,3240,2022,Elsevier
2590-1982,Transportation Research Interdisciplinary Perspectives,Open Access,1100,2022,Elsevier
0965-8564,Transportation Research Part A: Policy and Practice,Hybrid,3050,2022,Elsevier
0191-2615,Transportation Research Part B: Methodological,Hybrid,3590,2022,Elsevier
0968-090X,Transportation Research Part C: Emerging Technologies,Hybrid,3570,2022,Elsevier
1361-9209,Transportation Research Part D: Transport and Environment,Hybrid,3010,2022,Elsevier
1366-5545,Transportation Research Part E: Logistics and Transportation Review,Hybrid,3000,2022,Elsevier
1369-8478,Transportation Research Part F: Traffic Psychology and Behaviour,Hybrid,2710,2022,Elsevier
2352-1465,Transportation Research Procedia,Open Access,0,2022,Elsevier
2352-6440,Trauma Case Reports,Open Access,820,2022,Elsevier
2214-367X,Travel Behaviour and Society,Hybrid,2700,2022,Elsevier
1477-8939,Travel Medicine and Infectious Disease,Hybrid,2670,2022,Elsevier
2666-7193,"Trees, Forests and People",Open Access,1000,2022,Elsevier
2210-8440,Trends in Anaesthesia and Critical Care,Hybrid,2760,2022,Elsevier
0165-9936,Trends in Analytical Chemistry,Hybrid,4810,2022,Elsevier
0968-0004,Trends in Biochemical Sciences,Hybrid,6700,2022,Elsevier
0167-7799,Trends in Biotechnology,Hybrid,6700,2022,Elsevier
2405-8033,Trends in Cancer,Hybrid,6700,2022,Elsevier
1050-1738,Trends in Cardiovascular Medicine,Hybrid,3610,2022,Elsevier
0962-8924,Trends in Cell Biology,Hybrid,6700,2022,Elsevier
2589-5974,Trends in Chemistry,Hybrid,6700,2022,Elsevier
1364-6613,Trends in Cognitive Sciences,Hybrid,6700,2022,Elsevier
0169-5347,Trends in Ecology & Evolution,Hybrid,6700,2022,Elsevier
1043-2760,Trends in Endocrinology and Metabolism,Hybrid,6700,2022,Elsevier
2214-1588,Trends in Environmental Analytical Chemistry,Hybrid,3660,2022,Elsevier
0924-2244,Trends in Food Science & Technology,Hybrid,4920,2022,Elsevier
0168-9525,Trends in Genetics,Hybrid,6700,2022,Elsevier
1471-4906,Trends in Immunology,Hybrid,6700,2022,Elsevier
0966-842X,Trends in Microbiology,Hybrid,6700,2022,Elsevier
1471-4914,Trends in Molecular Medicine,Hybrid,6700,2022,Elsevier
2211-9493,Trends in Neuroscience and Education,Hybrid,2960,2022,Elsevier
0166-2236,Trends in Neurosciences,Hybrid,6700,2022,Elsevier
1471-4922,Trends in Parasitology,Hybrid,6700,2022,Elsevier
0165-6147,Trends in Pharmacological Sciences,Hybrid,6700,2022,Elsevier
1360-1385,Trends in Plant Science,Hybrid,6700,2022,Elsevier
0301-679X,Tribology International,Hybrid,4470,2022,Elsevier
1472-9792,Tuberculosis,Hybrid,2620,2022,Elsevier
2666-6790,Tumour Virus Research,Open Access,1800,2022,Elsevier
0886-7798,Tunnelling and Underground Space Technology,Hybrid,3340,2022,Elsevier
0304-3991,Ultramicroscopy,Hybrid,3330,2022,Elsevier
0041-624X,Ultrasonics,Hybrid,3420,2022,Elsevier
1350-4177,Ultrasonics Sonochemistry,Open Access,2300,2022,Elsevier
0301-5629,Ultrasound in Medicine & Biology,Hybrid,1750,2022,Elsevier
2666-2604,Upstream Oil and Gas Technology,Hybrid,2000,2022,Elsevier
2212-0955,Urban Climate,Hybrid,2950,2022,Elsevier
1618-8667,Urban Forestry & Urban Greening,Hybrid,3230,2022,Elsevier
2664-3286,Urban Governance,Open Access,1500,2022,Elsevier
1078-1439,Urologic Oncology: Seminars and Original Investigations,Hybrid,3240,2022,Elsevier
0090-4295,Urology,Hybrid,3020,2022,Elsevier
2214-4420,Urology Case Reports,Open Access,820,2022,Elsevier
2590-0897,Urology Video Journal,Open Access,750,2022,Elsevier
0957-1787,Utilities Policy,Hybrid,2600,2022,Elsevier
0264-410X,Vaccine,Hybrid,3350,2022,Elsevier
2590-1362,Vaccine: X,Open Access,1800,2022,Elsevier
1576-9887,Vacunas,Hybrid,1850,2022,Elsevier
2445-1460,Vacunas (English Edition),Hybrid,1800,2022,Elsevier
0042-207X,Vacuum,Hybrid,2790,2022,Elsevier
1098-3015,Value in Health,Hybrid,3200,2022,Elsevier
2212-1099,Value in Health Regional Issues,Hybrid,1500,2022,Elsevier
1537-1891,Vascular Pharmacology,Hybrid,3460,2022,Elsevier
2214-2096,Vehicular Communications,Hybrid,2680,2022,Elsevier
1467-2987,Veterinary Anaesthesia and Analgesia,Hybrid,3000,2022,Elsevier
2451-943X,Veterinary and Animal Science,Open Access,1770,2022,Elsevier
0165-2427,Veterinary Immunology and Immunopathology,Hybrid,2840,2022,Elsevier
0378-1135,Veterinary Microbiology,Hybrid,3220,2022,Elsevier
0304-4017,Veterinary Parasitology,Hybrid,3090,2022,Elsevier
2405-9390,Veterinary Parasitology: Regional Studies and Reports,Hybrid,2590,2022,Elsevier
2772-5359,Veterinary Vaccine,Open Access,1500,2022,Elsevier
0924-2031,Vibrational Spectroscopy,Hybrid,3190,2022,Elsevier
2468-4481,VideoGIE,Open Access,1200,2022,Elsevier
0042-6822,Virology,Hybrid,3200,2022,Elsevier
0168-1702,Virus Research,Hybrid,3090,2022,Elsevier
0042-6989,Vision Research,Hybrid,3160,2022,Elsevier
2468-502X,Visual Informatics,Open Access,0,2022,Elsevier
2405-4690,Visual Journal of Emergency Medicine,Hybrid,880,2022,Elsevier
0956-053X,Waste Management,Hybrid,4000,2022,Elsevier
0043-1354,Water Research,Hybrid,4220,2022,Elsevier
2589-9147,Water Research X,Open Access,2120,2022,Elsevier
2212-4284,Water Resources and Economics,Hybrid,2480,2022,Elsevier
2212-3717,Water Resources and Industry,Open Access,2350,2022,Elsevier
1674-2370,Water Science and Engineering,Open Access,0,2022,Elsevier
2468-3124,Water Security,Hybrid,3030,2022,Elsevier
0165-2125,Wave Motion,Hybrid,2710,2022,Elsevier
0043-1648,Wear,Hybrid,3600,2022,Elsevier
2212-0947,Weather and Climate Extremes,Open Access,2240,2022,Elsevier
2666-5581,"Wellbeing, Space and Society",Open Access,1450,2022,Elsevier
1080-6032,Wilderness & Environmental Medicine,Hybrid,3000,2022,Elsevier
1871-5192,Women and Birth,Hybrid,2200,2022,Elsevier
1049-3867,Women's Health Issues,Hybrid,3000,2022,Elsevier
0277-5395,Women's Studies International Forum,Hybrid,2060,2022,Elsevier
1939-4551,World Allergy Organization Journal,Open Access,2420,2022,Elsevier
0305-750X,World Development,Hybrid,3760,2022,Elsevier
2452-2929,World Development Perspectives,Hybrid,2280,2022,Elsevier
2772-655X,World Development Sustainability,Open Access,1400,2022,Elsevier
1003-5257,World Journal of Acupuncture - Moxibustion,Hybrid,1000,2022,Elsevier
1878-8750,World Neurosurgery,Hybrid,3210,2022,Elsevier
2590-1397,World Neurosurgery: X,Open Access,1950,2022,Elsevier
0172-2190,World Patent Information,Hybrid,2290,2022,Elsevier
1865-9217,"Zeitschrift für Evidenz, Fortbildung und Qualität im Gesundheitswesen",Hybrid,2500,2022,Elsevier
0939-3889,Zeitschrift für Medizinische Physik,Open Access,0,2022,Elsevier
0044-5231,Zoologischer Anzeiger,Hybrid,3310,2022,Elsevier
0944-2006,Zoology,Hybrid,3270,2022,Elsevier
1765-4629,Éthique & Santé,Hybrid,1620,2022,Elsevier
1651-1913,"Acta Agriculturae Scandinavica, Section B ? Soil & Plant Science",Open Access,2010,2022,Taylor & Francis
2377-2484,Acta Oto-Laryngologica Case Reports,Open Access,515,2022,Taylor & Francis
2055-0359,Advanced Manufacturing: Polymer & Composites Science,Open Access,1030,2022,Taylor & Francis
2374-6149,Advances in Physics: X,Open Access,1545,2022,Taylor & Francis
2766-9645,All Earth,Open Access,1545,2022,Taylor & Francis
2689-5307,All Life,Open Access,1545,2022,Taylor & Francis
1365-2060,Annals of Medicine,Open Access,2575,2022,Taylor & Francis
1087-6545,Applied Artificial Intelligence,Open Access,1545,2022,Taylor & Francis
2769-0911,Applied Mathematics in Science and Engineering,Open Access,1805,2022,Taylor & Francis
1938-4246,"Arctic, Antarctic, and Alpine Research",Open Access,2010,2022,Taylor & Francis
2169-141X,"Artificial Cells, Nanomedicine, and Biotechnology",Open Access,2575,2022,Taylor & Francis
1742-9536,Australian Journal of Psychology,Open Access,2250,2022,Taylor & Francis
2769-4127,Autophagy Reports,Open Access,0,2022,Taylor & Francis
2334-4385,Baltic Journal of Economics,Open Access,0,2022,Taylor & Francis
2574-5417,Big Earth Data,Open Access,1030,2022,Taylor & Francis
2165-5987,Bioengineered,Open Access,2575,2022,Taylor & Francis
2641-5275,Biomaterial Investigations in Dentistry,Open Access,670,2022,Taylor & Francis
1314-3530,Biotechnology & Biotechnological Equipment,Open Access,1545,2022,Taylor & Francis
1651-1999,Blood Pressure,Open Access,2575,2022,Taylor & Francis
2770-6710,Brain-Apparatus Communication: A Journal of Bacomics,Open Access,0,2022,Taylor & Francis
1555-8576,Cancer Biology & Therapy,Open Access,2885,2022,Taylor & Francis
1758-3012,Carbon Management,Open Access,1545,2022,Taylor & Francis
2332-0885,Case Reports in Plastic Surgery and Hand Surgery,Open Access,825,2022,Taylor & Francis
1933-6969,Channels,Open Access,2320,2022,Taylor & Francis
2375-3242,"Church, Communication and Culture",Open Access,1235,2022,Taylor & Francis
2331-1983,Cogent Arts & Humanities,Open Access,1235,2022,Taylor & Francis
2331-1975,Cogent Business & Management,Open Access,1235,2022,Taylor & Francis
2332-2039,Cogent Economics & Finance,Open Access,1235,2022,Taylor & Francis
2331-186X,Cogent Education,Open Access,1235,2022,Taylor & Francis
2331-1916,Cogent Engineering,Open Access,1235,2022,Taylor & Francis
2331-1932,Cogent Food & Agriculture,Open Access,1200,2022,Taylor & Francis
2770-7571,Cogent Public Health,Open Access,1235,2022,Taylor & Francis
2331-1908,Cogent Psychology,Open Access,1200,2022,Taylor & Francis
2331-1886,Cogent Social Sciences,Open Access,1235,2022,Taylor & Francis
1942-0889,Communicative & Integrative Biology,Open Access,1545,2022,Taylor & Francis
2469-9322,Computer Assisted Surgery,Open Access,1545,2022,Taylor & Francis
1360-0494,Connection Science,Open Access,1235,2022,Taylor & Francis
1541-2563,COPD: Journal of Chronic Obstructive Pulmonary Disease,Open Access,2575,2022,Taylor & Francis
1947-6345,CyTA - Journal of Food,Open Access,1805,2022,Taylor & Francis
1568-5551,Designed Monomers and Polymers,Open Access,1545,2022,Taylor & Francis
2166-5095,Development Studies Research,Open Access,1030,2022,Taylor & Francis
1521-0464,Drug Delivery,Open Access,2885,2022,Taylor & Francis
1848-9664,Economic Research-Ekonomska Istrazivanja,Open Access,1000,2022,Taylor & Francis
2639-5916,Ecosystems and People,Open Access,1235,2022,Taylor & Francis
2000-4508,Education Inquiry,Open Access,0,2022,Taylor & Francis
1997-003X,Engineering Applications of Computational Fluid Mechanics,Open Access,2010,2022,Taylor & Francis
2639-5940,Environmental Pollutants and Bioavailability,Open Access,1235,2022,Taylor & Francis
1654-6369,Ethics & Global Politics,Open Access,0,2022,Taylor & Francis
2001-8525,European Clinical Respiratory Journal,Open Access,2010,2022,Taylor & Francis
2279-7254,European Journal of Remote Sensing,Open Access,1030,2022,Taylor & Francis
1933-6942,Fly,Open Access,1750,2022,Taylor & Francis
1465-3443,Food and Agricultural Immunology,Open Access,2320,2022,Taylor & Francis
1947-5713,"Geomatics, Natural Hazards and Risk",Open Access,1805,2022,Taylor & Francis
1943-7226,GIScience & Remote Sensing,Open Access,2320,2022,Taylor & Francis
1591-7398,Global Bioethics,Open Access,1235,2022,Taylor & Francis
2377-9497,"Global Security: Health, Science and Policy",Open Access,825,2022,Taylor & Francis
2164-5701,GM Crops & Food,Open Access,2575,2022,Taylor & Francis
1751-7192,Green Chemistry Letters and Reviews,Open Access,1235,2022,Taylor & Francis
2164-2850,Health Psychology and Behavioral Medicine,Open Access,1235,2022,Taylor & Francis
2328-8620,Health Systems & Reform,Open Access,2010,2022,Taylor & Francis
2578-7616,Heat Treatment and Surface Engineering,Open Access,620,2022,Taylor & Francis
1607-8454,Hematology,Open Access,2575,2022,Taylor & Francis
2375-2696,Higher Education Pedagogies,Open Access,1235,2022,Taylor & Francis
2578-7470,HIV Research & Clinical Practice,Open Access,2320,2022,Taylor & Francis
2164-554X,Human Vaccines & Immunotherapeutics,Open Access,3085,2022,Taylor & Francis
2000-8686,Infection Ecology & Epidemiology,Open Access,1805,2022,Taylor & Francis
2333-5432,International Biomechanics,Open Access,1030,2022,Taylor & Francis
2164-4527,International Journal of Adolescence and Youth,Open Access,1030,2022,Taylor & Francis
1753-8955,International Journal of Digital Earth,Open Access,2320,2022,Taylor & Francis
1532-2386,International Journal of Food Properties,Open Access,2320,2022,Taylor & Francis
1553-8621,International Journal of Fruit Science,Open Access,2010,2022,Taylor & Francis
1559-9620,International Journal of Optomechatronics,Open Access,1235,2022,Taylor & Francis
1748-2631,International Journal of Qualitative Studies on Health and Well-being,Open Access,1805,2022,Taylor & Francis
1947-542X,International Journal of Smart and Nano Materials,Open Access,1235,2022,Taylor & Francis
1939-7046,International Journal of Sustainable Engineering,Open Access,1805,2022,Taylor & Francis
1938-2022,Islets,Open Access,2320,2022,Taylor & Francis
1828-051X,Italian Journal of Animal Science,Open Access,1030,2022,Taylor & Francis
2000-4214,Journal of Aesthetics & Culture,Open Access,0,2022,Taylor & Francis
0974-1844,Journal of Applied Animal Research,Open Access,1235,2022,Taylor & Francis
1751-3766,Journal of Biological Dynamics,Open Access,1545,2022,Taylor & Francis
2155-6660,Journal of Drug Assessment,Open Access,1030,2022,Taylor & Francis
1475-6374,Journal of Enzyme Inhibition and Medicinal Chemistry,Open Access,2320,2022,Taylor & Francis
2161-4083,Journal of European CME,Open Access,1545,2022,Taylor & Francis
1745-8099,Journal of Experimental Nanoscience,Open Access,1805,2022,Taylor & Francis
2156-6941,Journal of Freshwater Ecology,Open Access,1235,2022,Taylor & Francis
1547-6901,Journal of Immunotoxicology,Open Access,2320,2022,Taylor & Francis
1943-8168,Journal of Integrative Environmental Sciences,Open Access,1235,2022,Taylor & Francis
1747-4248,Journal of Land Use Science,Open Access,1545,2022,Taylor & Francis
1744-5647,Journal of Maps,Open Access,825,2022,Taylor & Francis
2000-2297,Journal of Oral Microbiology,Open Access,2575,2022,Taylor & Francis
1742-9153,Journal of Plant Interactions,Open Access,2320,2022,Taylor & Francis
1819-6357,Libyan Journal of Medicine,Open Access,2010,2022,Taylor & Francis
1464-5181,Liquid Crystals Today,Open Access,1235,2022,Taylor & Francis
1942-0870,mAbs,Open Access,3605,2022,Taylor & Francis
2166-3831,Materials Research Letters,Open Access,1545,2022,Taylor & Francis
1087-2981,Medical Education Online,Open Access,2320,2022,Taylor & Francis
2380-2359,Mitochondrial DNA Part B,Open Access,825,2022,Taylor & Francis
2372-3556,Molecular & Cellular Oncology,Open Access,1545,2022,Taylor & Francis
2055-0332,Nanocomposites,Open Access,1030,2022,Taylor & Francis
1469-9915,New Genetics and Society,Open Access,1545,2022,Taylor & Francis
2002-0317,Nordic Journal of Studies in Educational Policy,Open Access,0,2022,Taylor & Francis
1949-1042,Nucleus,Open Access,2010,2022,Taylor & Francis
2162-402X,OncoImmunology,Open Access,3085,2022,Taylor & Francis
1555-8592,Organogenesis,Open Access,2320,2022,Taylor & Francis
1744-5116,Pharmaceutical Biology,Open Access,2320,2022,Taylor & Francis
1559-2324,Plant Signaling & Behavior,Open Access,2010,2022,Taylor & Francis
2169-3277,Production & Manufacturing Research,Open Access,1235,2022,Taylor & Francis
1743-2928,Redox Report,Open Access,2010,2022,Taylor & Francis
2168-1376,"Regional Studies, Regional Science",Open Access,1235,2022,Taylor & Francis
1525-6049,Renal Failure,Open Access,2320,2022,Taylor & Francis
2765-8449,RMS: Research in Mathematics & Statistics,Open Access,1235,2022,Taylor & Francis
1555-8584,RNA Biology,Open Access,3085,2022,Taylor & Francis
1651-2006,Scandinavian Cardiovascular Journal,Open Access,2320,2022,Taylor & Francis
1502-7724,Scandinavian Journal of Primary Health Care,Open Access,1695,2022,Taylor & Francis
1553-4529,Social Influence,Open Access,2010,2022,Taylor & Francis
2054-8923,STAR: Science & Technology of Archaeological Research,Open Access,1030,2022,Taylor & Francis
1607-8888,Stress,Open Access,3085,2022,Taylor & Francis
1548-7733,"Sustainability: Science, Practice and Policy",Open Access,825,2022,Taylor & Francis
2765-8511,Sustainable Environment,Open Access,1235,2022,Taylor & Francis
2164-2583,Systems Science & Control Engineering,Open Access,1235,2022,Taylor & Francis
2572-9861,"Tapuya: Latin American Science, Technology and Society",Open Access,600,2022,Taylor & Francis
2475-0263,The European Zoological Journal,Open Access,825,2022,Taylor & Francis
2473-4306,Toxicology Communications,Open Access,825,2022,Taylor & Francis
2165-0020,"Urban, Planning and Transport Research",Open Access,1030,2022,Taylor & Francis
1875-5941,Veterinary Quarterly,Open Access,1235,2022,Taylor & Francis
2150-5608,Virulence,Open Access,2575,2022,Taylor & Francis
,AATCC Journal of Research,Hybrid,3500,2022,SageChoice
1536-0687,About Campus,Hybrid,3000,2022,SageChoice
1925-3621,Academic Forensic Pathology,Hybrid,3500,2022,SageChoice
1749-3374,Accounting History,Hybrid,3000,2022,SageChoice
1600-0455,Acta Radiologica,Hybrid,3750,2022,SageChoice
1502-3869,Acta Sociologica,Hybrid,3250,2022,SageChoice
1741-2617,Action Research,Hybrid,3250,2022,SageChoice
1741-2625,Active Learning in Higher Education,Hybrid,3500,2022,SageChoice
,Acupuncture in Medicine,Hybrid,3750,2022,SageChoice
1741-2633,Adaptive Behavior,Hybrid,3750,2022,SageChoice
,ADCES in Practice,Hybrid,3500,2022,SageChoice
1552-3039,Administration & Society,Hybrid,3250,2022,SageChoice
1930-3815,Administrative Science Quarterly,Hybrid,3500,2022,SageChoice
1740-469X,Adoption & Fostering,Hybrid,3000,2022,SageChoice
1552-3047,Adult Education Quarterly,Hybrid,3250,2022,SageChoice
2162-4070,Adult Learning,Hybrid,3000,2022,SageChoice
1552-3055,Advances in Developing Human Resources,Hybrid,3000,2022,SageChoice
2048-4011,Advances in Structural Engineering,Hybrid,3750,2022,SageChoice
1552-3020,Affilia,Hybrid,3250,2022,SageChoice
2050-4551,Alexandria,Hybrid,3000,2022,SageChoice
,AlterNative,Hybrid,3000,2022,SageChoice
2398-9084,Alternative Law Journal,Hybrid,3000,2022,SageChoice
2163-3150,Alternatives,Hybrid,3250,2022,SageChoice
,Alternatives to Laboratory Animals,Hybrid,3750,2022,SageChoice
1552-3381,American Behavioral Scientist,Hybrid,3250,2022,SageChoice
,American Economist,Hybrid,3000,2022,SageChoice
1935-1011,American Educational Research Journal,Hybrid,1000,2022,SageChoice
2374-7722,American Journal of Cosmetic Surgery,Hybrid,3500,2022,SageChoice
1557-0878,American Journal of Evaluation,Hybrid,3250,2022,SageChoice
2168-6602,American Journal of Health Promotion,Hybrid,3750,2022,SageChoice
1938-2715,American Journal of Hospice and Palliative Medicine,Hybrid,3750,2022,SageChoice
1559-8284,American Journal of Lifestyle Medicine,Hybrid,3500,2022,SageChoice
1945-8932,American Journal of Rhinology & Allergy,Hybrid,3750,2022,SageChoice
1552-3365,"American Journal of Sports Medicine, The",Hybrid,4000,2022,SageChoice
1552-3373,American Politics Research,Hybrid,3250,2022,SageChoice
1552-3357,"American Review of Public Administration, The",Hybrid,3250,2022,SageChoice
,American Sociological Review,Hybrid,3250,2022,SageChoice
2515-4842,American String Teacher,Hybrid,3000,2022,SageChoice
,American Surgeon,Hybrid,3750,2022,SageChoice
,Anaesthesia and Intensive Care,Hybrid,3750,2022,SageChoice
1940-1574,Angiology,Hybrid,4000,2022,SageChoice
,Anglican Theological Review,Hybrid,3000,2022,SageChoice
1746-8485,Animation,Hybrid,3000,2022,SageChoice
1758-1001,Annals of Clinical Biochemistry,Hybrid,3750,2022,SageChoice
1943-572X,"Annals of Otology, Rhinology, and Laryngology",Hybrid,3750,2022,SageChoice
1542-6270,Annals of Pharmacotherapy,Hybrid,4000,2022,SageChoice
1552-3349,"ANNALS of the American Academy of Political and Social Science, The",Hybrid,3250,2022,SageChoice
1872-969X,Annals of the ICRP,Hybrid,3500,2022,SageChoice
2053-020X,"Anthropocene Review, The",Hybrid,3500,2022,SageChoice
1741-2641,Anthropological Theory,Hybrid,3250,2022,SageChoice
,Antitrust Bulletin,Hybrid,3000,2022,SageChoice
1552-3497,Applied Psychological Measurement,Hybrid,3250,2022,SageChoice
1943-3530,Applied Spectroscopy,Hybrid,3750,2022,SageChoice
,Archive for the Psychology of Religion,Hybrid,3250,2022,SageChoice
1556-0848,Armed Forces & Society,Hybrid,3250,2022,SageChoice
1741-265X,Arts and Humanities in Higher Education,Hybrid,3000,2022,SageChoice
2057-049X,Asian and Pacific Migration Journal,Hybrid,3250,2022,SageChoice
,Asian Cardiovascular and Thoracic Annals,Hybrid,3500,2022,SageChoice
2057-892X,Asian Journal of Comparative Politics,Hybrid,3000,2022,SageChoice
,Asia-Pacific Journal of Public Health,Hybrid,1875,2022,SageChoice
1552-3489,Assessment,Hybrid,3500,2022,SageChoice
